feature,importance_mean,importance_std
testing_rate,0.10460707997859972,0.0093241056185769
region,0.014322678294900571,0.009252131653147092
incidence_growth_7d,0.005111545440639087,0.004730226056834692
population_density,0.004974662654800843,0.003824221235298737
mobility_index,0.0029690801779056588,0.003614370903799151
latitude,0.0026028907243931367,0.002747673140411178
healthcare_pressure,0.002248020633265224,0.0030281573812154733
reported_cases,0.0018032617080760316,0.005721801307298238
imported_cases,0.0012382809049027888,0.0012040367269904083
rainfall,0.0011672882971307196,0.0012190715641293677
reported_cases_rolling_std_14,0.00047229136979632936,0.003362692407019617
healthcare_capacity,0.00039346934579441716,0.004433865849454642
population,0.00010541087373207025,0.0001835141716196696
intervention_active,0.0,0.0
effective_R,-1.8954718707986373e-05,0.0039533552764524395
longitude,-6.415983142071813e-05,0.004399788322879296
reported_cases_lag_3,-8.328358915925538e-05,0.0018016911517183627
reported_cases_rolling_mean_7,-0.0002090416504052839,0.0019479218773467014
incidence_per_100k,-0.00020997933308292138,0.0015109368817567618
temperature,-0.0004285664981898196,0.0021973268866438147
reported_cases_rolling_mean_14,-0.0005577378923866782,0.000737306055249178
reported_cases_lag_7,-0.0005976177564797847,0.0007183005248158091
Rt,-0.0006601214962362989,0.0010332144803392505
vaccination_rate,-0.0007693516290201208,0.0004496072481557355
reported_cases_lag_1,-0.0010673630634541631,0.0009442969812410307
growth_rate_7d,-0.0011041674829523561,0.0018600403768465597
reported_cases_lag_14,-0.00111886388079252,0.0015071742854279417
spatial_pressure,-0.003643923484459555,0.003031654365982385
reported_cases_rolling_std_7,-0.005072864230275998,0.0031282361622302227
humidity,-0.005387699567799431,0.003460660383589454
